Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-53097,WR,Josh,Josh Reynolds,Reynolds,15.550000190734863,2,7000,ATL@DET,DET,ATL,Q,Groin,,,,WR/FLEX
94070-92020,QB,Kenny,Kenny Pickett,Pickett,11.479999542236328,2,7000,PIT@LV,PIT,LV,,,,,,QB
94070-41535,QB,Baker,Baker Mayfield,Mayfield,17.200000762939453,2,6900,PHI@TB,TB,PHI,,,,,,QB
94070-103020,WR,Puka,Puka Nacua,Nacua,19.75,2,6900,LAR@CIN,LAR,CIN,,,,,,WR/FLEX
94070-45859,QB,Derek,Derek Carr,Carr,11.65999984741211,2,6900,NO@GB,NO,GB,,,,,,QB
94070-91419,WR,Nico,Nico Collins,Collins,17.549999237060547,2,6900,HOU@JAC,HOU,JAC,,,,,,WR/FLEX
94070-91626,RB,James,James Cook,Cook,13.100000381469727,2,6900,BUF@WAS,BUF,WAS,,,,,,RB/FLEX
94070-129210,WR,Jordan,Jordan Addison,Addison,14.399999618530273,2,6800,LAC@MIN,MIN,LAC,,,,,,WR/FLEX
94070-90584,QB,Mac,Mac Jones,Jones,19.940000534057617,2,6800,NE@NYJ,NE,NYJ,,,,,,QB
94070-45631,RB,Jamaal,Jamaal Williams,Williams,4.550000190734863,2,6800,NO@GB,NO,GB,Q,Hamstring,,,,RB/FLEX
94070-71845,RB,Miles,Miles Sanders,Sanders,8,2,6700,CAR@SEA,CAR,SEA,Q,Pectoral,,,,RB/FLEX
94070-94534,WR,Gabe,Gabe Davis,Davis,11.199999809265137,2,6700,BUF@WAS,BUF,WAS,,,,,,WR/FLEX
94070-6654,QB,Matthew,Matthew Stafford,Stafford,15.220000267028809,2,6700,LAR@CIN,LAR,CIN,,,,,,QB
94070-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.229999542236328,2,6700,TEN@CLE,TEN,CLE,,,,,,QB
94070-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,14.649999618530273,2,6700,IND@BAL,IND,BAL,,,,,,WR/FLEX
94070-28744,RB,Raheem,Raheem Mostert,Mostert,18.600000381469727,2,6600,DEN@MIA,MIA,DEN,,,,,,RB/FLEX
94070-63634,WR,Jakobi,Jakobi Meyers,Meyers,24.600000381469727,1,6600,PIT@LV,LV,PIT,Q,Concussion,,,,WR/FLEX
94070-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,8,2,6600,TEN@CLE,TEN,CLE,,,,,,WR/FLEX
94070-90428,RB,Tyler,Tyler Allgeier,Allgeier,13.850000381469727,2,6600,ATL@DET,ATL,DET,,,,,,RB/FLEX
94070-129471,QB,C.J.,C.J. Stroud,Stroud,15.819999694824219,2,6600,HOU@JAC,HOU,JAC,Q,Shoulder,,,,QB
94070-137902,RB,Rachaad,Rachaad White,White,12.350000381469727,2,6600,PHI@TB,TB,PHI,,,,,,RB/FLEX
94070-169776,WR,Christian,Christian Watson,Watson,10.257143293108259,14,6600,NO@GB,GB,NO,Q,Hamstring,,,,WR/FLEX
