Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94505-130269,QB,Reid,Reid Sinnett,Sinnett,,,6000,CIN@ARI,CIN,ARI,,,,,,QB
94505-40167,RB,Gus,Gus Edwards,Edwards,7.099999904632568,4,6000,BAL@PIT,BAL,PIT,,,,,,RB/FLEX
94505-11500,QB,Colt,Colt McCoy,McCoy,8.949999809265137,4,6000,CIN@ARI,ARI,CIN,,,,,,QB
94505-129291,WR,Tank,Tank Dell,Dell,12,4,6000,HOU@ATL,HOU,ATL,,,,,,WR/FLEX
94505-90400,QB,Jaren,Jaren Hall,Hall,,,6000,KC@MIN,MIN,KC,,,,,,QB
94505-185640,QB,Dresser,Dresser Winn,Winn,,,6000,PHI@LAR,LAR,PHI,,,,,,QB
94505-31047,QB,AJ,AJ McCarron,McCarron,,,6000,CIN@ARI,CIN,ARI,,,,,,QB
94505-88440,QB,Braxton,Braxton Burmeister,Burmeister,,,6000,PHI@LAR,LAR,PHI,,,,,,QB
94505-52606,QB,David,David Blough,Blough,10.289999961853027,2,6000,CAR@DET,DET,CAR,,,,,,QB
94505-92560,QB,Sam,Sam Ehlinger,Ehlinger,9.654999732971191,4,6000,TEN@IND,IND,TEN,,,,,,QB
94505-73118,QB,Ian,Ian Book,Book,,,6000,NO@NE,NE,NO,,,,,,QB
94505-70051,QB,Tyler,Tyler Huntley,Huntley,0.800000011920929,1,6000,BAL@PIT,BAL,PIT,,,,,,QB
94505-185773,QB,Nolan,Nolan Henderson,Henderson,,,6000,BAL@PIT,BAL,PIT,,,,,,QB
94505-90575,RB,Najee,Najee Harris,Harris,6.599999904632568,4,6000,BAL@PIT,PIT,BAL,,,,,,RB/FLEX
94505-22994,QB,Case,Case Keenum,Keenum,0.1599999964237213,2,6000,HOU@ATL,HOU,ATL,,,,,,QB
94505-66008,WR,Diontae,Diontae Johnson,Johnson,6.300000190734863,1,6000,BAL@PIT,PIT,BAL,IR,Hamstring,,,,WR/FLEX
94505-53729,QB,Mason,Mason Rudolph,Rudolph,,,6000,BAL@PIT,PIT,BAL,,,,,,QB
94505-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,8.404000091552735,5,6000,CAR@DET,DET,CAR,,,,,,QB
94505-89607,QB,Tanner,Tanner McKee,McKee,,,6000,PHI@LAR,PHI,LAR,,,,,,QB
94505-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,6000,KC@MIN,MIN,KC,,,,,,QB
94505-94748,QB,Tommy,Tommy DeVito,DeVito,,,6000,NYG@MIA,NYG,MIA,,,,,,QB
94505-40482,QB,Tim,Tim Boyle,Boyle,-0.8799999952316284,1,6000,NYJ@DEN,NYJ,DEN,,,,,,QB
94505-30253,QB,Jeff,Jeff Driskel,Driskel,2.388571330479213,7,6000,CIN@ARI,ARI,CIN,,,,,,QB
94505-88630,QB,Matt,Matt Corral,Corral,,,6000,NO@NE,NE,NO,,,,,,QB
94505-71242,QB,Jarrett,Jarrett Guarantano,Guarantano,,,6000,NYJ@DEN,DEN,NYJ,,,,,,QB
94505-69294,QB,Skylar,Skylar Thompson,Thompson,4.195000171661377,8,6000,NYG@MIA,MIA,NYG,,,,,,QB
94505-73398,QB,Chris,Chris Oladokun,Oladokun,,,6000,KC@MIN,KC,MIN,,,,,,QB
94505-52929,QB,Jake,Jake Luton,Luton,,,6000,NO@NE,NO,NE,,,,,,QB
94505-6894,QB,Aaron,Aaron Rodgers,Rodgers,0,1,6000,NYJ@DEN,NYJ,DEN,IR,Achilles,,,,QB
94505-86793,QB,Jake,Jake Haener,Haener,,,6000,NO@NE,NO,NE,IR,Suspension,,,,QB
94505-28434,QB,Trevor,Trevor Siemian,Siemian,5.579999923706055,2,6000,NYJ@DEN,NYJ,DEN,,,,,,QB
94505-92975,QB,Malik,Malik Cunningham,Cunningham,,,6000,NO@NE,NE,NO,,,,,,QB
94505-90981,QB,Adrian,Adrian Martinez,Martinez,,,6000,CAR@DET,DET,CAR,,,,,,QB
94505-85860,QB,Tanner,Tanner Morgan,Morgan,,,6000,KC@MIN,MIN,KC,,,,,,QB
94505-38767,QB,Chris,Chris Streveler,Streveler,9,1,6000,NYJ@DEN,NYJ,DEN,Q,Thumb,,,,QB
94505-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,4.199999809265137,4,6000,NYG@MIA,NYG,MIA,,,,,,WR/FLEX
94505-93103,QB,E.J.,E.J. Perry,Perry,,,6000,HOU@ATL,HOU,ATL,,,,,,QB
94505-92082,QB,Austin,Austin Aune,Aune,,,6000,HOU@ATL,ATL,HOU,,,,,,QB
94505-69597,QB,Anthony,Anthony Brown,Brown,3.7899999618530273,2,6000,BAL@PIT,BAL,PIT,,,,,,QB
94505-56286,QB,Trace,Trace McSorley,McSorley,2.715999984741211,5,6000,NO@NE,NE,NO,,,,,,QB
94505-63469,QB,Ben,Ben DiNucci,DiNucci,,,6000,NYJ@DEN,DEN,NYJ,,,,,,QB
