Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95568-58312,PG/SG,D'Angelo,D'Angelo Russell,Russell,34.52500153,6800,LAC@LAL,LAL,LAC,,,,,,PG/SG,0.00,0.00,0.00
95568-188426,SG,Ausar,Ausar Thompson,Thompson,33.97499847,6700,POR@DET,DET,POR,,,,,,SG,0.00,0.00,0.00
95568-171804,SF/SG,Shaedon,Shaedon Sharpe,Sharpe,30.04999924,6700,POR@DET,POR,DET,,,,,,SG/SF,0.00,0.00,0.00
95568-157907,SG/PG,Jalen,Jalen Green,Green,25.83333333,6600,CHA@HOU,HOU,CHA,,,,,,PG/SG,0.00,0.00,0.00
95568-23798,SG/SF,Caris,Caris LeVert,LeVert,35.16666667,6600,CLE@NY,CLE,NY,GTD,Hamstring,,,,SG/SF,0.00,0.00,0.00
95568-40201,PG,Dennis,Dennis Schroder,Schroder,31.125,6500,MIL@TOR,TOR,MIL,,,,,,PG,0.00,0.00,0.00
95568-84709,C,Mitchell,Mitchell Robinson,Robinson,29.29999924,6500,CLE@NY,NY,CLE,,,,,,C,0.00,0.00,0.00
95568-171786,C,Mark,Mark Williams,Williams,26.16666667,6500,CHA@HOU,CHA,HOU,,,,,,C,0.00,0.00,0.00
95568-110352,PF/C,P.J.,PJ Washington,Washington,30.83333333,6500,CHA@HOU,CHA,HOU,,,,,,PF/C,0.00,0.00,0.00
95568-12366,SF/SG,Gordon,Gordon Hayward,Hayward,34.46666718,6400,CHA@HOU,CHA,HOU,,,,,,SG/SF,0.00,0.00,0.00
95568-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,18.66666667,6400,BKN@MIA,BKN,MIA,O,Ankle,,,,PG/SG,0.00,0.00,0.00
95568-58081,PG,Tyus,Tyus Jones,Jones,30.53333282,6400,WAS@ATL,WAS,ATL,,,,,,PG,0.00,0.00,0.00
95568-171777,C,Walker,Walker Kessler,Kessler,19.875,6400,MEM@UTA,UTA,MEM,,,,,,C,0.00,0.00,0.00
95568-23831,PF/SF,Jerami,Jerami Grant,Grant,26.77499962,6300,POR@DET,POR,DET,,,,,,SF/PF,0.00,0.00,0.00
95568-171760,SF/SG,Jalen,Jalen Williams,Williams,29.39999962,6300,NO@OKC,OKC,NO,,,,,,SG/SF,0.00,0.00,0.00
95568-55059,C,Clint,Clint Capela,Capela,29.89999962,6300,WAS@ATL,ATL,WAS,,,,,,C,0.00,0.00,0.00
95568-110357,SF/SG,RJ,RJ Barrett,Barrett,28.35000038,6300,CLE@NY,NY,CLE,GTD,Knee,,,,SG/SF,0.00,0.00,0.00
95568-66236,PF/C,John,John Collins,Collins,30.35000038,6200,MEM@UTA,UTA,MEM,,,,,,PF/C,0.00,0.00,0.00
95568-84682,PF/SF,Michael,Michael Porter,Porter,27.625,6200,DEN@MIN,DEN,MIN,,,,,,SF/PF,0.00,0.00,0.00
95568-145336,C,Xavier,Xavier Tillman,Tillman,32.45000076,6200,MEM@UTA,MEM,UTA,,,,,,C,0.00,0.00,0.00
95568-112708,SG/SF,Max,Max Strus,Strus,33.42499924,6100,CLE@NY,CLE,NY,,,,,,SG/SF,0.00,0.00,0.00
95568-14503,C,Jonas,Jonas Valanciunas,Valanciunas,21.80000051,6100,NO@OKC,NO,OKC,,,,,,C,0.00,0.00,0.00
95568-41594,PF,Aaron,Aaron Gordon,Gordon,30.95000076,6100,DEN@MIN,DEN,MIN,,,,,,PF,0.00,0.00,0.00
95568-188419,SF,Brandon,Brandon Miller,Miller,29.19999949,6000,CHA@HOU,CHA,HOU,,,,,,SF,0.00,0.00,0.00
95568-157833,SF/PF,Jalen,Jalen Johnson,Johnson,31.64999962,6000,WAS@ATL,ATL,WAS,,,,,,SF/PF,0.00,0.00,0.00
95568-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,21.39999962,6000,MEM@UTA,UTA,MEM,,,,,,PG/SG,0.00,0.00,0.00
95568-16261,SG/SF,Khris,Khris Middleton,Middleton,18.25,6000,MIL@TOR,MIL,TOR,,,,,,SG/SF,0.00,0.00,0.00
95568-58378,C,Jakob,Jakob Poeltl,Poeltl,22.07500076,5900,MIL@TOR,TOR,MIL,,,,,,C,0.00,0.00,0.00
95568-15860,PF/C,Draymond,Draymond Green,Green,19.60000038,5900,SAC@GS,GS,SAC,,,,,,PF/C,0.00,0.00,0.00
95568-110316,SF/PF,Cameron,Cameron Johnson,Johnson,26.5,5900,BKN@MIA,BKN,MIA,O,Calf,,,,SF/PF,0.00,0.00,0.00
95568-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,29.60000038,5900,POR@DET,POR,DET,,,,,,PG/SG,0.00,0.00,0.00
95568-70827,C,Ivica,Ivica Zubac,Zubac,27.17499924,5800,LAC@LAL,LAC,LAL,,,,,,C,0.00,0.00,0.00
95568-14509,SG,Klay,Klay Thompson,Thompson,27.10000102,5800,SAC@GS,GS,SAC,GTD,Knee,,,,SG,0.00,0.00,0.00
95568-84694,SF/SG,Bruce,Bruce Brown,Brown,24.26666768,5800,IND@BOS,IND,BOS,,,,,,SG/SF,0.00,0.00,0.00
95568-110325,C,Daniel,Daniel Gafford,Gafford,23.10000038,5800,WAS@ATL,WAS,ATL,GTD,Ankle,,,,C,0.00,0.00,0.00
95568-171767,PF,Jabari,Jabari Smith,Smith,25.80000051,5800,CHA@HOU,HOU,CHA,,,,,,PF,0.00,0.00,0.00
95568-110337,SG/SF,Talen,Talen Horton-Tucker,Horton-Tucker,22.97500038,5800,MEM@UTA,UTA,MEM,,,,,,SG/SF,0.00,0.00,0.00
95568-9621,C,Brook,Brook Lopez,Lopez,20.80000051,5700,MIL@TOR,MIL,TOR,,,,,,C,0.00,0.00,0.00
95568-49675,PG/SG,Derrick,Derrick White,White,35.03333282,5700,IND@BOS,BOS,IND,,,,,,PG/SG,0.00,0.00,0.00
95568-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,24.85000038,5700,POR@DET,DET,POR,,,,,,PF/C,0.00,0.00,0.00
95568-145539,SF/PF,Deni,Deni Avdija,Avdija,25,5600,WAS@ATL,WAS,ATL,,,,,,SF/PF,0.00,0.00,0.00
95568-23716,SF/PF,Kyle,Kyle Anderson,Anderson,25.19999949,5600,DEN@MIN,MIN,DEN,,,,,,SF/PF,0.00,0.00,0.00
95568-42156,PF/C,Bobby,Bobby Portis,Portis,25.86666616,5600,MIL@TOR,MIL,TOR,,,,,,PF/C,0.00,0.00,0.00
95568-58576,C,Kevon,Kevon Looney,Looney,26.67499924,5600,SAC@GS,GS,SAC,,,,,,C,0.00,0.00,0.00
95568-158136,SF/SG,Austin,Austin Reaves,Reaves,19.75,5600,LAC@LAL,LAL,LAC,,,,,,SG/SF,0.00,0.00,0.00
95568-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,22.19999949,5600,IND@BOS,IND,BOS,GTD,Elbow,,,,SG/SF,0.00,0.00,0.00
95568-188425,C,Dereck,Dereck Lively,Lively,20.03333282,5500,CHI@DAL,DAL,CHI,,,,,,C,0.00,0.00,0.00
95568-84708,C,Robert,Robert Williams,Williams,22.80000051,5500,POR@DET,POR,DET,,,,,,C,0.00,0.00,0.00
95568-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,27.72500038,5500,WAS@ATL,ATL,WAS,,,,,,SF/PF,0.00,0.00,0.00
95568-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,24.17499924,5500,CLE@NY,NY,CLE,,,,,,PG/SG,0.00,0.00,0.00
95568-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,15.07499981,5500,SAC@GS,GS,SAC,,,,,,SF/PF,0.00,0.00,0.00
95568-23665,SG/SF,Buddy,Buddy Hield,Hield,23.03333282,5400,IND@BOS,IND,BOS,,,,,,SG/SF,0.00,0.00,0.00
95568-110995,C,Naz,Naz Reid,Reid,23.53333282,5400,DEN@MIN,MIN,DEN,,,,,,C,0.00,0.00,0.00
95568-15846,SG/SF,Tim,Tim Hardaway,Hardaway,27.5,5400,CHI@DAL,DAL,CHI,,,,,,SG/SF,0.00,0.00,0.00
95568-145341,SF/SG,Isaac,Isaac Okoro,Okoro,27.625,5400,CLE@NY,CLE,NY,,,,,,SG/SF,0.00,0.00,0.00
95568-188428,PG,Scoot,Scoot Henderson,Henderson,16.29999924,5300,POR@DET,POR,DET,,,,,,PG,0.00,0.00,0.00
95568-157848,SG/SF,Herbert,Herbert Jones,Jones,22.96666718,5300,NO@OKC,NO,OKC,,,,,,SG/SF,0.00,0.00,0.00
95568-111273,SF/SG,Luguentz,Luguentz Dort,Dort,25.54999924,5300,NO@OKC,OKC,NO,,,,,,SG/SF,0.00,0.00,0.00
95568-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,21.60000038,5300,DEN@MIN,MIN,DEN,GTD,Calf,,,,SF/PF,0.00,0.00,0.00
95568-16293,SF/SG,Norman,Norman Powell,Powell,21.85000038,5300,LAC@LAL,LAC,LAL,,,,,,SG/SF,0.00,0.00,0.00
95568-18393,PG,T.J.,T.J. McConnell,McConnell,18.29999924,5300,IND@BOS,IND,BOS,,,,,,PG,0.00,0.00,0.00
95568-9575,PG,Mike,Mike Conley,Conley,22.5,5200,DEN@MIN,MIN,DEN,,,,,,PG,0.00,0.00,0.00
95568-15946,SF/PF,Harrison,Harrison Barnes,Barnes,26.16666667,5200,SAC@GS,SAC,GS,,,,,,SF/PF,0.00,0.00,0.00
95568-171747,SG/PG,Andrew,Andrew Nembhard,Nembhard,19.80000051,5200,IND@BOS,IND,BOS,,,,,,PG/SG,0.00,0.00,0.00
95568-16376,SF/PF,Dorian,Dorian Finney-Smith,Finney-Smith,25.26666768,5200,BKN@MIA,BKN,MIA,,,,,,SF/PF,0.00,0.00,0.00
95568-145489,PG,Killian,Killian Hayes,Hayes,22.32500076,5100,POR@DET,DET,POR,,,,,,PG,0.00,0.00,0.00
95568-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,24.47500038,5100,WAS@ATL,ATL,WAS,,,,,,SG/SF,0.00,0.00,0.00
95568-40830,PG/SG,Delon,Delon Wright,Wright,20.83333333,5100,WAS@ATL,WAS,ATL,,,,,,PG/SG,0.00,0.00,0.00
95568-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,24.625,5000,DEN@MIN,DEN,MIN,,,,,,SG,0.00,0.00,0.00
95568-9535,PG,Kyle,Kyle Lowry,Lowry,21.64999962,5000,BKN@MIA,MIA,BKN,,,,,,PG,0.00,0.00,0.00
95568-80816,SG/PG,Malik,Malik Monk,Monk,24.66666667,5000,SAC@GS,SAC,GS,,,,,,PG/SG,0.00,0.00,0.00
95568-145328,SF,Saddiq,Saddiq Bey,Bey,23.17499924,5000,WAS@ATL,ATL,WAS,,,,,,SF,0.00,0.00,0.00
95568-157904,SF,Jonathan,Jonathan Kuminga,Kuminga,18.86666616,4900,SAC@GS,GS,SAC,GTD,Knee,,,,SF,0.00,0.00,0.00
