
Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95526-23156,PF,Georges,Georges Niang,Niang,8.766666412,3700,NY@CLE,CLE,NY,,,,,,PF,14.40,3.90,20.21
95526-41082,C,Damian,Damian Jones,Jones,5.400000254,3700,NY@CLE,CLE,NY,,,,,,C,9.10,2.46,10.08
95526-157842,C,Charles,Charles Bassey,Bassey,12.03333282,3700,SA@PHO,SA,PHO,,,,,,C,12.50,3.39,10.39
95526-59318,SG/SF,Joe,Joe Ingles,Ingles,9.566666921,3700,ORL@LAC,ORL,LAC,,,,,,SG/SF,11.30,3.05,15.11
95526-188408,PG,Anthony,Anthony Black,Black,12.5,3700,ORL@LAC,ORL,LAC,,,,,,PG,0.10,0.03,0.15
95526-110331,PG,Ty,Ty Jerome,Jerome,4.349999905,3700,NY@CLE,CLE,NY,O,Ankle,,,,PG,0.00,0.00,0.09
95526-110336,PF,Chuma,Chuma Okeke,Okeke,3.599999905,3600,ORL@LAC,ORL,LAC,,,,,,PF,0.00,0.00,0.02
95526-18256,PF/SF,Doug,Doug McDermott,McDermott,9.433333079,3600,SA@PHO,SA,PHO,,,,,,SF/PF,11.50,3.21,14.98
95526-145309,C,Udoka,Udoka Azubuike,Azubuike,5.599999905,3600,SA@PHO,PHO,SA,,,,,,C,0.00,0.00,0.06
95526-145317,PG,Sam,Sam Merrill,Merrill,6.900000095,3600,NY@CLE,CLE,NY,,,,,,PG,4.30,1.21,5.07
95526-84701,C,Chimezie,Chimezie Metu,Metu,4.699999809,3600,SA@PHO,PHO,SA,,,,,,C,0.00,0.00,0.09
95526-110313,C,Bol,Bol Bol,Bol,2.200000048,3600,SA@PHO,PHO,SA,,,,,,C,0.00,0.00,0.05
95526-188418,PF,Kobe,Kobe Brown,Brown,6.150000095,3500,ORL@LAC,LAC,ORL,,,,,,PF,15.10,4.33,19.99
95526-171782,PF,Isaiah,Isaiah Mobley,Mobley,6.625,3500,NY@CLE,CLE,NY,,,,,,PF,0.00,0.00,0.04
95526-110341,SG,Dylan,Dylan Windler,Windler,4.5,3500,NY@CLE,NY,CLE,,,,,,SG,0.00,0.00,0.00
95526-189467,PG,Craig,Craig Porter,Porter,1.5,3500,NY@CLE,CLE,NY,,,,,,PG,0.30,0.07,0.31
95526-188446,SF,Sidy,Sidy Cissoko,Cissoko,,3500,SA@PHO,SA,PHO,,,,,,SF,0.00,0.00,0.02
95526-188445,SF,Jordan,Jordan Miller,Miller,2,3500,ORL@LAC,LAC,ORL,,,,,,SF,0.00,0.00,0.02
95526-117290,SF,Charlie,Charlie Brown,Brown,,3500,NY@CLE,NY,CLE,,,,,,SF,0.00,0.00,0.00
95526-188462,SF,Emoni,Emoni Bates,Bates,0,3500,NY@CLE,CLE,NY,,,,,,SF,0.00,0.00,0.02
95526-188474,SF,Jacob,Jacob Toppin,Toppin,,3500,NY@CLE,NY,CLE,,,,,,SF,0.00,0.00,0.00
95526-23096,SF,Evan,Evan Fournier,Fournier,11.58518473,3500,NY@CLE,NY,CLE,,,,,,SF,0.00,0.00,0.10
95526-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,6.199999809,3500,NY@CLE,NY,CLE,,,,,,SF,0.00,0.00,0.02
