Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
96011-145323,PG,Tre,Tre Jones,Jones,23.86666701,5600,MIA@SA,SA,MIA,GTD,Hamstring,,,,PG,24.40,4.35,24.58
96011-157848,SG/SF,Herbert,Herbert Jones,Jones,25.34285627,5500,DAL@NO,NO,DAL,GTD,Lower leg,,,,SG/SF,25.70,4.66,32.55
96011-84679,PF/C,Marvin,Marvin Bagley,Bagley,18.21000061,5500,DET@CHI,DET,CHI,,,,,,PF/C,25.00,4.55,27.22
96011-23716,SF/PF,Kyle,Kyle Anderson,Anderson,22.71249962,5400,MIN@GS,MIN,GS,,,,,,SF/PF,23.00,4.26,24.91
96011-58576,C,Kevon,Kevon Looney,Looney,24.46999969,5400,MIN@GS,GS,MIN,,,,,,C,22.70,4.21,20.70
96011-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,23.48000031,5400,DET@CHI,DET,CHI,,,,,,PF/C,29.10,5.39,36.29
96011-188421,SG,Jordan,Jordan Hawkins,Hawkins,21.46666633,5300,DAL@NO,NO,DAL,,,,,,SG,25.90,4.89,34.09
96011-14509,SG,Klay,Klay Thompson,Thompson,24.36666701,5300,MIN@GS,GS,MIN,,,,,,SG,26.20,4.95,32.62
96011-42202,PF/C,Christian,Christian Wood,Wood,18.94444444,5300,POR@LAL,LAL,POR,,,,,,PF/C,23.70,4.48,21.69
96011-9556,SG,Eric,Eric Gordon,Gordon,23.61111111,5300,OKC@PHO,PHO,OKC,GTD,Shoulder,,,,SG,20.00,3.77,27.62
96011-171784,PG,Dyson,Dyson Daniels,Daniels,21.48888821,5200,DAL@NO,NO,DAL,,,,,,PG,18.00,3.46,23.08
96011-60233,SG/SF,Dillon,Dillon Brooks,Brooks,24.47500038,5200,DEN@HOU,HOU,DEN,,,,,,SG/SF,22.50,4.33,32.90
96011-9575,PG,Mike,Mike Conley,Conley,23.625,5200,MIN@GS,MIN,GS,,,,,,PG,25.90,4.98,29.28
96011-188428,PG,Scoot,Scoot Henderson,Henderson,16.73999939,5100,POR@LAL,POR,LAL,O,Ankle,,,,PG,0.00,0.00,0.00
96011-15846,SG/SF,Tim,Tim Hardaway,Hardaway,24.64444478,5100,DAL@NO,DAL,NO,,,,,,SG/SF,23.90,4.68,30.17
96011-85137,SG/SF,Duncan,Duncan Robinson,Robinson,17.11111111,5000,MIA@SA,MIA,SA,,,,,,SG/SF,23.50,4.69,33.28
96011-14523,PG,Reggie,Reggie Jackson,Jackson,19.97777812,5000,DEN@HOU,DEN,HOU,,,,,,PG,22.10,4.41,28.10
96011-84711,SG/SF,Grayson,Grayson Allen,Allen,24.26666599,5000,OKC@PHO,PHO,OKC,,,,,,SG/SF,23.50,4.69,31.57
96011-14510,PG/SG,Alec,Alec Burks,Burks,25.27499962,4900,DET@CHI,DET,CHI,GTD,Forearm,,,,PG/SG,20.80,4.24,22.18
96011-110349,PF/SF,Rui,Rui Hachimura,Hachimura,22.6,4900,POR@LAL,LAL,POR,,,,,,SF/PF,16.00,3.27,20.02
96011-102025,SF,Haywood,Haywood Highsmith,Highsmith,20.71999969,4800,MIA@SA,MIA,SA,,,,,,SF,18.90,3.94,25.85
96011-110318,PF,Grant,Grant Williams,Williams,20.44444444,4800,DAL@NO,DAL,NO,,,,,,PF,22.00,4.58,30.64
96011-66968,SF,Derrick,Derrick Jones,Jones,17.85555522,4800,DAL@NO,DAL,NO,,,,,,SF,21.80,4.55,27.33
96011-171780,SG,Jaden,Jaden Ivey,Ivey,20.25,4700,DET@CHI,DET,CHI,GTD,Illness,,,,SG,19.00,4.05,21.17
96011-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,16.88999939,4700,MIN@GS,GS,MIN,,,,,,SF/PF,23.50,5.00,27.52
96011-97263,C/PF,Drew,Drew Eubanks,Eubanks,20.41111077,4700,OKC@PHO,PHO,OKC,,,,,,PF/C,17.00,3.61,17.76
96011-188422,SF,Jaime,Jaime Jaquez,Jaquez,17.41111077,4600,MIA@SA,MIA,SA,,,,,,SF,21.20,4.61,24.88
96011-15557,C,Andre,Andre Drummond,Drummond,16.34444512,4600,DET@CHI,CHI,DET,,,,,,C,15.40,3.35,11.97
96011-145819,SF,Naji,Naji Marshall,Marshall,18.28846154,4600,DAL@NO,NO,DAL,GTD,Knee,,,,SF,0.00,0.00,0.00
96011-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,19.38333384,4600,MIN@GS,MIN,GS,,,,,,SF/PF,22.30,4.84,29.90
96011-23981,PG/SG,Alex,Alex Caruso,Caruso,22.11111111,4600,DET@CHI,CHI,DET,GTD,Toe,,,,PG/SG,19.70,4.29,23.95
96011-23572,SF/PF,Taurean,Taurean Prince,Prince,15.67142814,4500,POR@LAL,LAL,POR,,,,,,SF/PF,18.50,4.10,27.62
96011-84688,PF,Keita,Keita Bates-Diop,Bates-Diop,17.98333359,4500,OKC@PHO,PHO,OKC,,,,,,PF,20.70,4.60,24.66
96011-171744,SG,Christian,Christian Braun,Braun,19.17777846,4500,DEN@HOU,DEN,HOU,,,,,,SG,15.00,3.33,20.81
96011-171769,SF,Tari,Tari Eason,Eason,20.70000076,4500,DEN@HOU,HOU,DEN,,,,,,SF,23.60,5.25,23.84
96011-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,21.53333367,4500,DEN@HOU,DEN,HOU,,,,,,SG,23.20,5.16,33.11
96011-16233,SF/SG,Josh,Josh Richardson,Richardson,12.09999975,4500,MIA@SA,MIA,SA,GTD,Back,,,,SG/SF,18.60,4.13,21.87
96011-160174,PG,Jordan,Jordan Goodwin,Goodwin,16.86666701,4500,OKC@PHO,PHO,OKC,,,,,,PG,11.60,2.58,11.78
96011-158373,PG,Jose,Jose Alvarado,Alvarado,18.82295002,4400,DAL@NO,NO,DAL,O,Ankle,,,,PG,0.00,0.00,0.00
96011-84689,SF/SG,Josh,Josh Okogie,Okogie,16.90000068,4400,OKC@PHO,PHO,OKC,,,,,,SG/SF,12.50,2.85,14.80
96011-55056,PF/C,Dario,Dario Saric,Saric,19.9,4400,MIN@GS,GS,MIN,,,,,,PF/C,17.00,3.87,17.41
96011-113267,SF/PF,Caleb,Caleb Martin,Martin,10.10000038,4300,MIA@SA,MIA,SA,O,Knee,,,,SF/PF,0.00,0.00,0.00
96011-157904,SF,Jonathan,Jonathan Kuminga,Kuminga,18.59999932,4300,MIN@GS,GS,MIN,,,,,,SF,18.40,4.28,19.62
96011-171748,SF/SG,Malaki,Malaki Branham,Branham,14.14444478,4300,MIA@SA,SA,MIA,,,,,,SG/SF,7.50,1.74,10.18
96011-67312,C,Thomas,Thomas Bryant,Bryant,13.71249962,4300,MIA@SA,MIA,SA,,,,,,C,12.60,2.92,11.93
96011-110339,SG/SF,Cam,Cam Reddish,Reddish,13.95555539,4300,POR@LAL,LAL,POR,,,,,,SG/SF,18.40,4.27,27.03
96011-40396,PG,Monte,Monte Morris,Morris,23.9516129,4300,DET@CHI,DET,CHI,O,Quadriceps,,,,PG,0.00,0.00,0.00
96011-16196,C,Dwight,Dwight Powell,Powell,16.23749924,4200,DAL@NO,DAL,NO,,,,,,C,11.80,2.80,15.32
96011-188415,PG/SG,Cason,Cason Wallace,Wallace,16.06666734,4200,OKC@PHO,OKC,PHO,,,,,,PG/SG,17.70,4.21,22.63
96011-171758,PF/C,Jaylin,Jaylin Williams,Williams,13.32499981,4100,OKC@PHO,OKC,PHO,,,,,,PF/C,11.10,2.71,12.80
96011-110356,SG/SF,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,15.07499981,4100,MIN@GS,MIN,GS,,,,,,SG/SF,14.50,3.54,17.94
96011-145325,SG,Josh,Josh Green,Green,15.55555556,4100,DAL@NO,DAL,NO,,,,,,SG,15.10,3.68,23.00
96011-145330,PG,Isaiah,Isaiah Joe,Joe,14.6222229,4100,OKC@PHO,OKC,PHO,,,,,,PG,15.60,3.81,19.70
96011-188447,SF/PF,Toumani,Toumani Camara,Camara,16.64999962,4000,POR@LAL,POR,LAL,,,,,,SF/PF,21.50,5.39,28.37
96011-157802,SG,Moses,Moses Moody,Moody,16.68000031,4000,MIN@GS,GS,MIN,,,,,,SG,11.80,2.94,15.16
96011-9874,PF/C,Kevin,Kevin Love,Love,19.52499962,4000,MIA@SA,MIA,SA,,,,,,PF/C,0.20,0.06,0.20
96011-171665,C,Orlando,Orlando Robinson,Robinson,17.04999924,4000,MIA@SA,MIA,SA,,,,,,C,0.00,0.00,0.07
96011-145576,SF/PF,Jae'Sean,Jae'Sean Tate,Tate,18.88750076,4000,DEN@HOU,HOU,DEN,,,,,,SF/PF,19.00,4.76,21.86
96011-84691,PG,Shake,Shake Milton,Milton,11.125,4000,MIN@GS,MIN,GS,,,,,,PG,10.60,2.66,13.95
96011-171791,SG,Jaden,Jaden Hardy,Hardy,11.77142879,4000,DAL@NO,DAL,NO,,,,,,SG,10.20,2.54,11.23
96011-188450,PF,Trayce,Trayce Jackson-Davis,Jackson-Davis,9.485714504,3900,MIN@GS,GS,MIN,,,,,,PF,0.00,0.00,0.03
96011-157842,C,Charles,Charles Bassey,Bassey,13.21111128,3900,MIA@SA,SA,MIA,,,,,,C,13.90,3.57,12.29
96011-63126,SF/PF,Cedi,Cedi Osman,Osman,14.98888821,3900,MIA@SA,SA,MIA,,,,,,SF/PF,10.70,2.74,14.34
96011-58519,SG,Gary,Gary Payton,Payton,16.17777846,3900,MIN@GS,GS,MIN,,,,,,SG,0.00,0.00,0.00
96011-84696,PG/SG,Jevon,Jevon Carter,Carter,12.02222188,3900,DET@CHI,CHI,DET,,,,,,PG/SG,10.90,2.78,13.97
96011-110320,SF,Matisse,Matisse Thybulle,Thybulle,12.10000038,3900,POR@LAL,POR,LAL,,,,,,SF,19.70,5.06,27.35
96011-171761,SG,Peyton,Peyton Watson,Watson,13.64444478,3900,DEN@HOU,DEN,HOU,,,,,,SG,15.30,3.91,17.47
96011-20277,SF,Torrey,Torrey Craig,Craig,15.52222188,3900,DET@CHI,CHI,DET,,,,,,SF,16.10,4.12,19.96
96011-145305,PF/C,Zeke,Zeke Nnaji,Nnaji,8.966666328,3900,DEN@HOU,DEN,HOU,,,,,,PF/C,10.70,2.75,13.82
96011-145308,SF/PF,Patrick,Patrick Williams,Williams,15.24444411,3900,DET@CHI,CHI,DET,GTD,Finger,,,,SF/PF,17.00,4.37,22.95
96011-188405,PG/SG,Amen,Amen Thompson,Thompson,12.55000019,3900,DEN@HOU,HOU,DEN,O,Ankle,,,,PG/SG,0.00,0.00,0.00
96011-20992,PF/C,Larry,Larry Nance,Nance,12.13333299,3800,DAL@NO,NO,DAL,,,,,,PF/C,16.70,4.38,18.42
96011-162411,SF,Matt,Matt Ryan,Ryan,13.36666701,3800,DAL@NO,NO,DAL,,,,,,SF,17.80,4.68,25.62
96011-157830,C/PF,Jeremiah,Jeremiah Robinson-Earl,Robinson-Earl,13.14999962,3800,DAL@NO,NO,DAL,,,,,,PF/C,0.00,0.00,0.00
96011-81621,PF/C,Maxi,Maxi Kleber,Kleber,11.84000015,3800,DAL@NO,DAL,NO,O,Toe,,,,PF/C,0.00,0.00,0.00
96011-161553,SG,Dru,Dru Smith,Smith,16.66000061,3800,MIA@SA,MIA,SA,,,,,,SG,16.70,4.39,18.89
