Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94059-54879,QB,Deshaun,Deshaun Watson,Watson,17.1299991607666,2,7500,TEN@CLE,CLE,TEN,,,,,,QB
94059-52436,TE,Mark,Mark Andrews,Andrews,13,1,7400,IND@BAL,BAL,IND,,,,,,TE/FLEX
94059-73048,WR,DK,DK Metcalf,Metcalf,11.350000381469727,2,7400,CAR@SEA,SEA,CAR,Q,Ribs,,,,WR/FLEX
94059-22015,QB,Russell,Russell Wilson,Wilson,21.049999237060547,2,7400,DEN@MIA,DEN,MIA,,,,,,QB
94059-27050,WR,Tyler,Tyler Lockett,Lockett,11.949999809265137,2,7300,CAR@SEA,SEA,CAR,,,,,,WR/FLEX
94059-69017,QB,Jordan,Jordan Love,Love,21.670000076293945,2,7300,NO@GB,GB,NO,,,,,,QB
94059-39829,WR,Mike,Mike Williams,Williams,9.550000190734863,2,7200,LAC@MIN,LAC,MIN,,,,,,WR/FLEX
94059-103564,WR,Garrett,Garrett Wilson,Wilson,13.600000381469727,2,7200,NE@NYJ,NYJ,NE,,,,,,WR/FLEX
94059-73273,RB,David,David Montgomery,Montgomery,12.649999618530273,2,7200,ATL@DET,DET,ATL,Q,Thigh,,,,RB/FLEX
94059-26483,QB,Geno,Geno Smith,Smith,16.100000381469727,2,7200,CAR@SEA,SEA,CAR,,,,,,QB
94059-61798,QB,Gardner,Gardner Minshew II,Minshew II,5.570000171661377,2,7100,IND@BAL,IND,BAL,,,,,,QB
94059-56250,WR,Terry,Terry McLaurin,McLaurin,9,2,7100,BUF@WAS,WAS,BUF,,,,,,WR/FLEX
94059-104576,QB,Sam,Sam Howell,Howell,18.719999313354492,2,7000,BUF@WAS,WAS,BUF,,,,,,QB
94059-86278,QB,Desmond,Desmond Ridder,Ridder,15.390000343322754,2,7000,ATL@DET,ATL,DET,,,,,,QB
94059-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,8.050000190734863,2,7000,ATL@DET,DET,ATL,,,,,,RB/FLEX
94059-89675,RB,Jonathan,Jonathan Taylor,Taylor,12.03636308149858,11,7000,IND@BAL,IND,BAL,NA,Ankle,,,,RB/FLEX
94059-53097,WR,Josh,Josh Reynolds,Reynolds,15.550000190734863,2,7000,ATL@DET,DET,ATL,Q,Groin,,,,WR/FLEX
94059-45859,QB,Derek,Derek Carr,Carr,11.65999984741211,2,6900,NO@GB,NO,GB,,,,,,QB
94059-91419,WR,Nico,Nico Collins,Collins,17.549999237060547,2,6900,HOU@JAC,HOU,JAC,,,,,,WR/FLEX
94059-91626,RB,James,James Cook,Cook,13.100000381469727,2,6900,BUF@WAS,BUF,WAS,,,,,,RB/FLEX
94059-129210,WR,Jordan,Jordan Addison,Addison,14.399999618530273,2,6800,LAC@MIN,MIN,LAC,,,,,,WR/FLEX
94059-90584,QB,Mac,Mac Jones,Jones,19.940000534057617,2,6800,NE@NYJ,NE,NYJ,,,,,,QB
94059-45631,RB,Jamaal,Jamaal Williams,Williams,4.550000190734863,2,6800,NO@GB,NO,GB,Q,Hamstring,,,,RB/FLEX
94059-71845,RB,Miles,Miles Sanders,Sanders,8,2,6700,CAR@SEA,CAR,SEA,Q,Pectoral,,,,RB/FLEX
94059-94534,WR,Gabe,Gabe Davis,Davis,11.199999809265137,2,6700,BUF@WAS,BUF,WAS,,,,,,WR/FLEX
94059-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.229999542236328,2,6700,TEN@CLE,TEN,CLE,,,,,,QB
94059-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,14.649999618530273,2,6700,IND@BAL,IND,BAL,,,,,,WR/FLEX
94059-28744,RB,Raheem,Raheem Mostert,Mostert,18.600000381469727,2,6600,DEN@MIA,MIA,DEN,,,,,,RB/FLEX
94059-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,8,2,6600,TEN@CLE,TEN,CLE,,,,,,WR/FLEX
94059-90428,RB,Tyler,Tyler Allgeier,Allgeier,13.850000381469727,2,6600,ATL@DET,ATL,DET,,,,,,RB/FLEX
94059-129471,QB,C.J.,C.J. Stroud,Stroud,15.819999694824219,2,6600,HOU@JAC,HOU,JAC,Q,Shoulder,,,,QB
94059-169776,WR,Christian,Christian Watson,Watson,10.257143293108259,14,6600,NO@GB,GB,NO,Q,Hamstring,,,,WR/FLEX
94059-112745,WR,Drake,Drake London,London,7.849999904632568,2,6500,ATL@DET,ATL,DET,,,,,,WR/FLEX
94059-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,12.699999809265137,2,6500,NE@NYJ,NE,NYJ,,,,,,RB/FLEX
94059-60858,WR,Christian,Christian Kirk,Kirk,8.930000305175781,2,6500,HOU@JAC,JAC,HOU,,,,,,WR/FLEX
94059-40407,QB,Joshua,Joshua Dobbs,Dobbs,13.100000381469727,2,6500,DAL@ARI,ARI,DAL,,,,,,QB
